bpm_confidence,distance_threshold_factor,clean_beats_threshold,overlap_threshold,early_beat_threshold,late_beat_threshold,missed_beat_threshold,mode_threshold,nudge_amount,f_measure,cmlt,amlt
0.9,0.2,0.05,0.15,0.6,1.35,1.6,0.1,0.45,0.8422486567485659,0.8064366531720606,0.8678791654245664
0.9,0.2,0.1,0.25,0.6,1.4,1.6,0.08,0.45,0.8471021158580457,0.8159266937019198,0.873431504265444
0.9,0.25,0.03,0.15,0.6,1.3,1.65,0.01,0.45,0.8385633924572837,0.8065651121301816,0.8716450365838406
0.9,0.15,0.03,0.4,0.6,1.4,1.6,0.1,0.55,0.8484536851934378,0.8135294470218234,0.871053035229764
0.9,0.25,0.05,0.2,0.6,1.35,1.65,0.08,0.55,0.8456346102994057,0.8157446569844392,0.8816743651999523
0.9,0.15,0.03,0.4,0.65,1.4,1.65,0.08,0.45,0.8551007114836117,0.823329344111623,0.8772788137098001
0.9,0.2,0.03,0.15,0.6,1.4,1.8,0.01,0.5,0.8491154798484253,0.8186033894098278,0.8791568720486177
0.9,0.15,0.05,0.25,0.6,1.3,1.6,0.1,0.45,0.8492423665538031,0.8142946562541792,0.8739163092554489
0.9,0.25,0.05,0.35,0.6,1.4,1.6,0.01,0.45,0.8591325297026866,0.8269521488970368,0.882093920666426
0.9,0.25,0.03,0.15,0.6,1.35,1.65,0.04,0.55,0.8504859633852164,0.8191753733379634,0.8808555233528457
0.9,0.15,0.1,0.25,0.65,1.4,1.8,0.1,0.45,0.8427695257376822,0.8097083639991457,0.8708063530665431
0.9,0.15,0.03,0.35,0.55,1.4,1.8,0.08,0.5,0.8690663996480938,0.8361605648299207,0.8816044297982724
0.9,0.2,0.1,0.4,0.6,1.35,1.8,0.04,0.5,0.8640430657355771,0.8330579405259745,0.8862511452922776
0.9,0.2,0.05,0.35,0.55,1.3,1.6,0.1,0.5,0.8515855690776672,0.815318940338965,0.8752920741113515
0.9,0.2,0.1,0.25,0.6,1.35,1.8,0.1,0.45,0.8432416827334,0.8099400538908101,0.8716991252735236
0.9,0.15,0.1,0.2,0.55,1.35,1.6,0.08,0.45,0.8450030008553548,0.8129185058192595,0.8731510018791202
0.9,0.15,0.03,0.25,0.6,1.3,1.8,0.01,0.45,0.8533412076869856,0.821433909433299,0.8780759334814163
0.9,0.15,0.1,0.25,0.55,1.3,1.65,0.08,0.5,0.8619309132326872,0.8289050735576614,0.8830051994967013
0.9,0.15,0.1,0.35,0.65,1.3,1.6,0.1,0.55,0.8408447145958615,0.808690014131577,0.8706896008038072
0.9,0.2,0.1,0.4,0.65,1.4,1.65,0.1,0.55,0.8528455020929462,0.8198563497202831,0.8783173646429505
0.9,0.25,0.03,0.35,0.65,1.4,1.6,0.04,0.55,0.8602515112971251,0.8289208692859228,0.885071406350561
0.9,0.15,0.03,0.25,0.6,1.4,1.6,0.1,0.45,0.8397997449190755,0.8037206017297767,0.8677186939038594
0.9,0.15,0.1,0.15,0.55,1.35,1.65,0.08,0.45,0.8439516475766707,0.812248700139919,0.8739909647888175
0.9,0.15,0.05,0.35,0.55,1.35,1.65,0.1,0.45,0.8446125234311544,0.8094288386735489,0.8709666582218307
0.9,0.25,0.1,0.35,0.55,1.3,1.6,0.1,0.5,0.8496609996932948,0.8153752631591933,0.8732436001017915
0.9,0.15,0.05,0.25,0.55,1.35,1.8,0.1,0.55,0.8441073947189917,0.8126552775993447,0.874303375371146
0.9,0.2,0.05,0.25,0.65,1.4,1.6,0.04,0.45,0.84178268154639,0.8096061118457142,0.8714669709393457
0.9,0.25,0.05,0.2,0.65,1.3,1.65,0.04,0.5,0.8485260338804389,0.8179456864931237,0.8805181213792759
0.9,0.25,0.03,0.15,0.55,1.4,1.65,0.08,0.55,0.8427592774549693,0.8126072507357466,0.8759933961494053
0.9,0.15,0.1,0.15,0.6,1.4,1.65,0.08,0.55,0.8557100990940565,0.8267916061444015,0.8816032835312243
0.9,0.2,0.1,0.35,0.65,1.3,1.6,0.08,0.45,0.8518545974489594,0.8211437816458317,0.8830540646948283
0.9,0.15,0.1,0.35,0.65,1.3,1.6,0.04,0.45,0.8675641606340669,0.8352837882302364,0.8857988366759054
0.9,0.25,0.1,0.15,0.55,1.3,1.8,0.08,0.55,0.8338554193022121,0.8045302881904929,0.8764162505979036
0.9,0.2,0.05,0.25,0.6,1.3,1.6,0.04,0.55,0.8584044650378586,0.8256847362186828,0.8855572710634797
0.9,0.15,0.03,0.35,0.55,1.3,1.6,0.1,0.45,0.8415860124847632,0.8060256823134283,0.868856535800588
0.9,0.15,0.05,0.2,0.55,1.4,1.8,0.01,0.55,0.8647450563522652,0.8331802750463708,0.8851003112510781
0.9,0.2,0.03,0.15,0.6,1.4,1.8,0.08,0.45,0.8360165595642184,0.804391340464546,0.8655030436249397
0.9,0.2,0.03,0.25,0.6,1.4,1.8,0.04,0.55,0.8653275131142546,0.8335605992110124,0.886550163726665
0.9,0.25,0.03,0.35,0.65,1.3,1.6,0.01,0.45,0.8602725097631688,0.8285649624630307,0.8824462106598024
0.9,0.2,0.03,0.2,0.6,1.3,1.8,0.04,0.45,0.8431434301977597,0.8109521468090053,0.8784090096257983
0.9,0.25,0.05,0.25,0.6,1.4,1.6,0.01,0.5,0.8644907666765034,0.8321013677980512,0.8853912320283862
0.9,0.2,0.03,0.25,0.6,1.35,1.8,0.08,0.55,0.8550965224385836,0.8251975502995579,0.8843926641397409
0.9,0.15,0.1,0.15,0.6,1.3,1.6,0.08,0.55,0.8433947992797917,0.8127758822603016,0.8746322263772698
0.9,0.25,0.05,0.25,0.6,1.3,1.8,0.01,0.5,0.8517102066425759,0.820708969174736,0.8800805804362413
0.9,0.2,0.03,0.4,0.65,1.4,1.6,0.01,0.5,0.8686043985999524,0.8370907039371162,0.8892211642304881
0.9,0.2,0.03,0.4,0.55,1.3,1.6,0.08,0.5,0.8585072463842233,0.82444463827034,0.8809372200946223
0.9,0.2,0.05,0.35,0.55,1.4,1.8,0.1,0.55,0.8575338123391211,0.824832468796386,0.879670352891931
0.9,0.2,0.03,0.35,0.6,1.3,1.8,0.08,0.45,0.8567126896865174,0.824877094861289,0.881890337908163
0.9,0.25,0.05,0.4,0.55,1.3,1.6,0.08,0.55,0.8524030770612216,0.8190705145518316,0.871910981068659
0.9,0.15,0.03,0.15,0.65,1.3,1.8,0.04,0.5,0.8347631708974551,0.8038649362863686,0.8756499959558313
0.9,0.2,0.03,0.35,0.65,1.4,1.65,0.04,0.5,0.8728962333329833,0.8406446978209393,0.8888843756706961
0.9,0.15,0.1,0.35,0.65,1.35,1.8,0.08,0.5,0.8631844641680788,0.8327189195221782,0.8832664705475408
0.9,0.15,0.05,0.35,0.6,1.3,1.6,0.04,0.45,0.8638707899929902,0.8292894791617329,0.8845000876455316
0.9,0.25,0.05,0.35,0.6,1.3,1.8,0.04,0.5,0.8606576559657546,0.8302182217854114,0.8860267875902228
0.9,0.25,0.1,0.35,0.55,1.35,1.6,0.08,0.55,0.8540292778939463,0.8229471214340233,0.8780709588018102
0.9,0.2,0.1,0.15,0.55,1.35,1.6,0.01,0.55,0.855697530136992,0.8243037087710532,0.880635244096811
0.9,0.15,0.05,0.35,0.65,1.4,1.8,0.01,0.55,0.8670750926050341,0.8364963254019108,0.8875492103476851
0.9,0.25,0.05,0.25,0.6,1.35,1.8,0.08,0.45,0.8548055462154338,0.8256195170438572,0.8784138180910374
0.9,0.15,0.03,0.25,0.65,1.35,1.65,0.04,0.45,0.8566306184231121,0.8239181981504937,0.8807479620978809
0.9,0.15,0.1,0.25,0.65,1.4,1.8,0.08,0.55,0.8597627651982105,0.8325905056852743,0.8825502556422962
0.9,0.15,0.05,0.25,0.6,1.35,1.6,0.01,0.5,0.8668440176129406,0.8340247861288469,0.8857321567395051
0.9,0.2,0.05,0.4,0.65,1.3,1.65,0.01,0.55,0.8584164576969389,0.8271605583892853,0.8841738036051325
0.9,0.2,0.1,0.4,0.6,1.35,1.65,0.01,0.55,0.8699351637643457,0.8385214705659366,0.892173032956316
0.9,0.15,0.05,0.35,0.6,1.35,1.65,0.08,0.55,0.8627509274313869,0.8297819738304271,0.8842506173323769
0.9,0.2,0.1,0.25,0.6,1.4,1.65,0.08,0.5,0.8522845652056313,0.8220944582283408,0.8858538219271423
0.9,0.25,0.03,0.4,0.65,1.3,1.65,0.01,0.5,0.8555510965747914,0.824027927689828,0.8841683279813225
0.9,0.15,0.03,0.15,0.55,1.3,1.6,0.04,0.55,0.8533300001438154,0.8197984913402684,0.8754638481118171
0.9,0.25,0.03,0.2,0.6,1.4,1.6,0.01,0.5,0.8584105914402712,0.8259904388639588,0.881865541682544
0.9,0.2,0.1,0.25,0.65,1.4,1.8,0.01,0.5,0.8521942729039892,0.822150187786268,0.8819922910435039
